CGPA,Internships,Projects,Workshops/Certifications,AptitudeTestScore,SoftSkillsRating,ExtracurricularActivities,PlacementTraining,SSC_Marks,HSC_Marks,PlacementStatus,salary
8.4,1,3,2,90,4.8,1,1,72,85,1,
7.7,0,1,2,78,4.6,0,1,55,85,1,
7.7,1,1,1,64,3.7,0,1,55,61,0,
8.4,1,3,2,87,4.8,1,1,75,88,1,
8.3,1,1,2,78,4.5,1,1,78,88,1,
8.6,1,2,1,77,3.9,1,1,77,69,0,
8,2,1,1,85,4.5,0,0,66,63,1,
8.6,2,3,0,81,4.7,1,1,77,78,1,
7.4,1,2,1,71,4,0,1,76,63,1,
8.4,2,3,2,90,4.8,1,1,76,83,1,
7.9,1,3,0,82,4.6,1,1,87,83,0,
8.2,2,2,0,89,4.6,1,1,75,69,0,
7.8,2,1,1,75,3.8,0,0,65,64,0,
8.5,2,3,2,90,4.5,1,1,75,82,1,
8.4,2,3,2,89,4.4,1,1,75,88,1,
8.1,1,3,2,79,4.6,0,1,64,80,1,
7.8,0,1,0,73,4,0,0,56,72,0,
7.8,0,3,1,88,4.6,1,1,65,83,1,
6.5,0,1,0,89,4.6,1,0,62,77,0,
6.7,1,1,0,73,4.5,0,1,60,79,1,
7.5,1,1,1,69,4,0,1,61,69,0,
8.1,2,3,2,74,4.2,1,1,61,82,1,
6.5,1,2,1,85,4,1,1,71,82,1,
8.2,2,3,2,90,4.8,1,1,86,86,1,
7.6,1,1,1,75,3.7,0,0,55,63,0,
8.5,2,3,2,90,4.8,1,1,81,85,1,
7.6,0,2,0,77,3.7,1,1,72,80,1,
7.9,1,2,0,73,4.3,0,1,58,65,0,
7.2,1,1,0,76,3.5,0,1,57,65,0,
7.9,1,1,0,76,4.2,1,1,70,60,0,
7.5,1,2,1,72,4.3,0,1,57,67,0,
7.6,1,2,0,65,4.8,0,1,62,73,1,
6.9,1,2,0,73,4.2,0,0,55,57,0,
7.7,1,1,0,69,3.8,0,0,57,65,0,
7.3,0,1,1,74,3.8,0,1,60,65,0,
7.9,1,2,0,84,4.1,0,1,58,75,1,
8.8,2,3,3,90,4.8,1,1,72,76,1,
6.7,1,1,2,78,4.3,0,0,65,68,0,
8.4,2,3,0,79,4.6,1,0,57,65,0,
8.2,2,3,0,90,4.8,1,1,76,83,1,
7.8,2,3,1,90,4.6,1,0,87,84,1,
6.5,1,1,0,60,3.6,0,0,58,67,0,
7.6,1,1,0,76,4.6,0,0,73,62,0,
7.8,1,1,0,86,4,1,1,60,76,1,
7.4,1,3,2,70,4.7,1,1,74,86,0,
7.6,1,2,0,69,4.4,0,1,60,68,0,
6.7,1,2,1,74,4.1,1,1,56,67,1,
7.3,1,2,2,84,4.4,1,1,76,81,1,
7.4,1,2,0,70,4.5,1,1,70,64,1,
6.5,1,1,0,70,4.7,1,1,55,66,1,
6.5,2,3,0,90,4.6,1,1,75,67,1,
7.7,1,1,1,73,4.3,0,0,65,63,0,
6.6,1,2,0,78,4.4,0,0,59,70,0,
8.1,1,3,0,90,4.6,0,1,71,81,1,
7.4,1,1,1,69,4.2,0,1,59,65,0,
7.9,0,1,1,74,4.4,0,0,59,65,0,
6.6,1,1,0,68,4.6,0,0,57,72,0,
8.4,2,3,2,90,4.8,1,0,82,81,1,
6.7,0,2,0,83,4,0,1,55,66,0,
7.7,1,1,0,65,3,0,0,55,74,0,
6.7,1,1,0,80,3.5,0,0,57,62,0,
7.4,1,1,1,75,3.7,0,0,61,68,0,
8.7,2,3,2,90,4.6,1,1,75,86,1,
8,2,3,0,77,4.8,1,1,77,85,0,
7.6,1,2,1,67,4.1,0,0,58,70,0,
6.9,1,3,1,78,4.4,1,1,79,78,0,
8.2,2,3,2,90,4.8,1,1,89,87,1,
6.5,0,3,2,86,4.6,1,1,76,83,0,
7.7,2,1,1,80,4.7,1,1,56,85,1,
7.8,1,2,0,70,3.8,1,1,59,69,0,
7.4,0,1,1,81,3.5,1,1,71,65,0,
6.8,2,1,2,83,4.7,1,0,79,61,0,
8.3,2,1,2,72,4,1,1,76,70,0,
7.2,0,1,0,73,3.7,0,0,55,62,0,
7.9,0,2,0,87,4.4,1,1,74,70,1,
7.7,1,1,1,78,3.3,0,0,55,74,0,
7.4,1,1,0,69,4.4,0,0,57,66,0,
8.2,2,3,2,90,4.8,1,0,85,78,1,
7.7,1,2,0,85,3.7,0,1,56,72,0,
7.4,1,2,0,80,4.2,1,1,83,80,1,
8.1,2,3,2,90,4.8,1,1,84,86,1,
7.3,0,2,0,81,4.2,0,1,56,71,0,
6.5,1,1,0,74,4,0,1,84,71,0,
8.3,0,1,3,77,4,0,1,55,67,0,
7.7,1,2,2,75,4.7,1,1,79,80,0,
8.1,0,1,0,83,4.2,1,1,71,83,0,
8.2,1,1,1,71,3.5,0,0,56,65,0,
7.5,0,1,0,66,4.3,0,0,60,68,0,
8.6,2,1,0,87,4.4,1,1,55,83,1,
7.5,1,3,2,75,4.5,1,1,80,63,1,
8.2,1,1,0,71,3.8,0,0,67,62,0,
6.9,1,3,1,84,4.4,1,1,73,88,1,
6.5,0,1,0,76,4.3,0,0,59,66,0,
8.4,1,1,0,87,4.8,1,1,71,82,0,
8.2,1,3,1,72,3.9,0,1,61,73,0,
7.7,0,1,1,78,4.1,0,0,58,75,0,
8.4,2,3,2,90,4.8,1,1,79,86,1,
8.4,1,3,2,90,4.6,1,1,73,84,1,
7.7,2,3,2,89,4.8,1,1,82,87,1,
7.7,1,3,1,84,4.7,1,0,59,65,0,
7.6,1,1,1,72,3.3,0,1,58,61,0,
6.7,1,2,0,75,4.8,1,1,55,67,1,
6.5,1,2,1,76,4.4,1,1,71,73,1,
7.5,1,1,0,64,3.4,0,0,56,66,0,
7.1,1,3,0,81,4.2,1,1,62,88,1,
7.8,0,3,0,84,3.8,1,1,59,71,0,
6.5,1,1,3,87,4.2,1,1,80,82,1,
7.5,0,3,1,76,4.4,1,1,81,83,1,
8.3,2,3,2,87,4.6,1,1,78,82,1,
8.1,1,1,2,90,4.8,1,1,83,72,1,
7.5,2,3,2,79,4.4,1,1,70,80,1,
7.4,2,1,3,66,3.9,0,0,61,57,0,
8.2,0,3,2,90,4.8,1,1,70,84,1,
8.1,0,3,0,69,4.1,1,0,67,59,0,
8.6,1,3,0,82,4.8,1,1,87,68,0,
6.5,1,2,1,78,4.4,1,1,77,73,0,
6.5,1,2,0,70,3.7,1,1,61,69,0,
7.4,1,1,1,78,4.3,0,1,55,66,0,
6.9,1,2,1,78,4.5,0,1,68,64,1,
7.7,2,2,2,84,3.9,0,1,86,87,1,
8.1,2,3,2,90,4.8,1,1,81,85,1,
7.9,2,1,2,88,3.6,0,0,73,66,0,
8.3,2,3,2,90,4.8,1,1,83,87,1,
8.4,2,3,2,90,4.8,1,1,72,82,1,
6.9,1,3,2,90,4.8,1,1,76,85,1,
8.2,0,1,0,76,4.4,1,1,56,81,0,
8.5,1,3,0,84,4.7,1,1,58,85,1,
8.4,2,3,2,90,4.8,1,1,80,84,1,
7.2,2,2,2,79,4.4,1,1,83,82,1,
8.6,2,3,2,89,4.8,1,0,79,78,1,
7.6,2,2,1,90,4.7,1,1,70,70,0,
7.6,0,1,0,67,4.3,1,1,59,69,0,
7.5,0,2,0,69,3.7,0,0,58,65,0,
7.6,1,1,0,66,4.1,0,1,58,69,0,
6.6,1,3,2,90,4.8,1,1,67,83,0,
7.6,0,1,0,81,3.9,1,1,61,83,1,
8.3,1,3,2,85,4.1,1,1,76,86,1,
6.5,0,1,1,81,4,0,1,55,67,0,
8.4,2,3,2,89,4.8,1,1,73,81,0,
6.5,1,1,1,60,4,0,0,55,74,0,
8.1,2,3,0,90,4.8,1,1,83,88,1,
7.3,0,1,0,85,4.4,0,0,57,68,0,
7.7,1,1,1,79,4.3,0,0,56,65,0,
7.5,1,1,0,77,4.2,1,1,82,74,0,
8,1,1,2,80,4.7,1,1,80,79,0,
7.8,0,2,0,86,4.1,1,1,85,84,0,
8.5,2,3,2,90,4.8,1,1,81,85,1,
6.5,0,2,1,77,4.1,1,0,55,68,0,
7.8,1,1,1,87,4.2,1,1,59,86,1,
7.7,1,1,0,79,4.3,0,1,71,85,1,
7.7,0,1,0,73,3.6,0,0,55,65,0,
7.5,1,1,0,78,3.3,0,0,64,61,0,
6.5,2,1,2,86,4.7,1,0,65,82,1,
8.3,2,3,0,77,4.1,1,1,84,64,0,
7.8,1,2,0,90,4,1,1,81,79,0,
8.4,2,3,2,90,4.8,1,1,79,84,1,
7.6,1,2,0,70,3.9,0,1,55,60,0,
6.8,0,2,0,73,4.3,1,1,64,63,1,
6.8,0,1,0,70,3.3,0,0,55,70,0,
6.6,1,1,1,72,4,0,0,58,63,0,
6.5,0,1,0,86,3.9,0,0,72,70,0,
6.5,0,1,0,79,4.2,1,1,83,74,1,
7.8,1,1,0,66,4.6,0,0,57,67,0,
7.6,0,1,2,83,4.8,1,1,78,81,1,
7.7,1,2,2,75,4.6,1,0,68,73,1,
8.2,1,1,0,75,4.1,1,0,65,70,0,
6.5,1,1,0,85,3.7,0,0,60,74,0,
6.5,1,1,1,64,4,0,0,55,71,0,
8.2,2,3,2,90,4.8,1,1,84,85,1,
8.1,0,3,2,83,4.6,1,0,68,83,1,
7.9,1,2,0,90,4.8,1,1,76,80,1,
7.3,1,1,1,70,3.8,0,0,56,71,0,
8.3,2,3,0,88,4.8,1,1,82,72,0,
8.4,1,3,2,88,4.5,1,1,73,82,1,
7.3,1,3,0,89,3.8,0,0,79,71,0,
7.7,1,2,1,69,4.1,1,0,57,63,0,
8.3,1,1,0,81,4.7,0,0,75,69,0,
7.6,2,1,1,76,3.5,0,1,58,81,0,
8,1,1,2,75,3.6,1,1,55,64,0,
7.7,2,2,1,71,4.4,0,1,55,66,0,
7.5,0,2,1,67,4.4,0,1,55,68,0,
8.4,2,3,1,85,4.4,1,1,78,83,1,
6.6,0,2,1,78,4.5,0,0,69,68,0,
6.6,1,1,1,85,4,0,1,57,62,1,
6.5,1,1,1,66,3.7,0,1,55,61,0,
7,0,2,0,66,4.3,0,1,79,63,1,
7.6,2,1,0,77,4.2,0,1,72,68,1,
7.7,0,1,0,65,4.3,0,1,55,64,0,
6.5,0,3,0,73,4.6,1,1,75,74,1,
7.7,1,2,0,79,4.1,1,1,66,72,0,
8.1,2,3,0,87,4.4,1,1,86,88,1,
7.5,1,1,1,73,4.7,1,0,61,67,0,
8,2,3,2,90,4.7,1,1,82,86,1,
7.7,2,1,0,65,3.8,1,0,88,79,0,
8.1,1,2,0,83,4.6,1,1,75,75,0,
8.2,1,2,2,74,4.4,1,1,72,81,1,
7.3,1,2,2,75,4.6,1,1,77,74,1,
6.7,1,2,0,76,4.8,1,1,59,66,1,
8,1,3,3,90,4.6,1,1,72,88,1,
7.3,1,1,0,69,3.9,1,1,58,60,0,
8.2,1,3,2,79,4,1,1,73,67,0,
8.5,2,3,0,76,4.8,1,1,85,88,1,
8.1,2,3,2,90,3.7,1,1,78,77,1,
7.2,0,1,1,73,3.4,0,1,73,70,0,
8.1,1,3,2,90,4.8,1,1,78,88,1,
6.9,0,2,1,82,4.2,1,1,73,86,1,
7.9,1,2,0,75,3.8,1,0,57,66,0,
6.5,1,2,1,62,4.4,0,1,60,66,0,
7.7,0,3,2,84,4.8,1,1,75,86,1,
7.6,1,2,0,68,4.3,1,1,84,63,0,
8.9,2,3,2,90,4.8,1,1,82,88,1,
8,0,3,2,90,4.7,1,1,71,88,1,
7.4,1,3,2,90,4.8,1,1,79,83,1,
7.4,1,1,1,70,3.2,0,1,58,67,0,
6.9,1,1,2,78,4.6,1,1,65,82,0,
8.1,2,1,0,82,4.4,0,0,55,73,0,
8.3,2,3,0,90,4.8,1,1,68,83,1,
6.5,1,2,0,85,3.4,0,1,57,71,0,
7.7,2,3,1,88,4.3,0,1,56,83,0,
7.3,1,1,0,70,3.7,1,1,61,67,0,
7.4,0,3,2,75,4.3,1,1,88,84,1,
8.2,2,3,2,89,4.8,1,1,74,87,1,
7.6,1,1,0,74,4.1,0,1,55,64,0,
6.8,1,1,0,64,4.2,0,1,63,67,0,
8.4,1,3,0,87,4.1,1,0,55,84,0,
8.3,2,3,2,89,4.6,1,1,77,88,1,
6.9,1,1,1,67,4.5,0,1,55,71,0,
8.2,1,2,2,86,4.2,1,1,73,73,0,
6.5,0,1,1,73,3.5,0,0,85,64,0,
7.7,1,1,1,82,4.6,1,1,66,82,0,
7.8,0,3,1,76,3.8,0,1,55,69,0,
8.3,1,3,1,90,4.8,1,1,83,87,1,
7.5,1,3,1,79,3.8,1,1,62,63,1,
7.9,1,2,0,68,3.7,0,0,55,59,0,
7.8,1,1,1,69,4.1,0,0,55,64,0,
7.6,0,1,0,63,4.4,0,1,61,71,1,
7.4,1,3,1,61,4.8,0,0,58,73,0,
7.8,0,2,0,89,3.9,1,1,70,74,0,
7.5,0,1,1,70,4.3,0,0,64,66,0,
6.6,1,1,0,70,4.1,0,0,55,67,0,
7.6,0,1,0,61,3.8,0,1,55,61,0,
8.6,2,3,1,90,4.8,1,1,75,88,1,
7.5,0,2,1,78,3.8,0,1,82,68,0,
8.1,0,3,0,84,3.3,0,0,86,65,0,
7.6,0,1,1,75,4.2,0,1,55,63,0,
7.7,1,1,1,60,3.6,0,0,59,58,0,
8,2,3,2,83,4.6,1,1,72,85,1,
8.3,2,3,2,90,4.8,1,1,78,87,1,
7.8,0,1,0,64,3.9,0,0,64,61,0,
8,1,3,0,74,3.8,0,1,77,68,0,
8.4,2,3,2,90,4.8,1,1,74,88,1,
8.7,2,3,2,90,4.8,1,1,80,86,1,
8.4,0,3,2,87,4.8,1,0,82,75,1,
7.1,1,1,0,79,3.8,0,0,55,61,0,
8.1,1,2,0,78,4.2,1,1,84,82,1,
8.4,1,3,2,90,4.7,1,1,85,88,1,
8.8,0,3,2,89,4.5,1,1,77,87,1,
7.5,2,2,1,75,4.2,1,1,65,86,0,
7.7,1,2,1,69,4.5,0,1,55,61,0,
7.5,0,2,1,81,4.1,1,0,56,66,0,
7.9,0,3,1,77,4.7,1,0,81,63,0,
7.5,1,3,0,83,4.8,1,1,73,87,1,
8.6,1,3,0,87,4.7,1,1,81,88,1,
8.3,0,3,2,90,4.7,1,1,76,85,1,
7.6,0,2,1,69,4.8,0,0,80,71,0,
6.7,1,1,0,81,4.6,1,1,57,70,1,
7.6,0,1,0,73,4.7,0,0,80,57,0,
6.5,0,1,0,81,4.1,0,1,64,65,0,
7.9,2,3,2,90,4.5,1,0,84,82,1,
8.4,0,3,2,90,4.7,1,1,82,87,1,
6.9,1,1,0,76,4.5,0,0,58,58,1,
7.8,2,3,2,82,4.6,1,0,84,76,0,
7.3,1,1,0,74,4.5,0,0,67,65,0,
6.8,0,2,1,76,4,0,1,55,65,0,
7.6,0,2,0,84,4.5,1,1,69,86,1,
7.4,1,1,1,82,4.3,0,1,86,69,0,
8.7,1,2,2,84,4.3,0,0,78,87,0,
8,2,1,0,74,4.6,1,1,78,79,1,
7.9,0,3,2,89,4.5,0,0,63,59,1,
7.8,2,3,2,90,4.8,1,1,79,87,1,
7.8,1,2,0,77,4.2,0,1,79,70,1,
6.8,1,1,1,78,4,0,0,65,58,0,
8.7,1,1,2,80,3.8,1,1,60,75,0,
7.7,1,2,2,86,4.8,1,1,73,86,1,
7.6,1,1,1,77,4,0,1,55,74,1,
7.7,1,2,0,88,4.5,0,1,55,69,0,
6.7,2,3,2,83,4,0,0,79,68,1,
7.7,1,1,0,82,4.3,0,1,60,63,0,
8.2,0,2,2,83,4.8,1,1,78,82,1,
8.2,2,2,2,82,4.7,1,0,75,68,1,
6.9,2,3,0,80,4.4,1,1,74,67,0,
8.1,1,3,2,90,4.3,1,1,74,80,0,
8.1,1,3,3,89,4.8,1,1,66,86,1,
6.7,1,2,0,74,4,0,1,56,66,0,
8.4,1,2,2,77,4.1,0,0,65,72,0,
7.9,0,2,2,85,4.2,1,0,74,82,0,
6.5,1,2,0,77,3.5,0,1,57,68,1,
7.5,0,1,1,79,4.4,0,1,76,71,0,
8.1,2,3,2,85,4.8,1,1,80,79,1,
7.3,0,1,1,66,4.7,0,0,59,66,0,
8.7,2,3,2,90,4.8,1,1,82,84,1,
7.5,1,1,0,70,4.4,0,1,70,64,0,
8.1,1,1,0,60,3.7,1,0,77,66,0,
8.7,2,3,2,90,4.8,1,1,87,88,1,
7.5,1,3,0,84,4.1,1,1,82,82,0,
8.7,0,3,1,88,4.8,1,0,77,82,1,
8,2,3,2,90,4.5,1,1,77,88,1,
8.3,0,1,1,77,3.8,1,1,78,84,0,
6.6,0,1,1,71,4.4,1,1,64,85,0,
8.3,1,3,2,90,4.8,1,1,87,88,1,
7.8,0,1,0,81,4.2,0,0,63,58,0,
8,1,1,2,84,4.6,1,0,76,84,1,
6.5,0,2,1,75,3.9,0,1,56,63,0,
7.5,1,2,0,67,4.4,1,0,66,84,0,
7.7,2,3,1,67,4.2,1,1,64,80,0,
8.1,2,2,0,90,4.8,1,1,76,88,0,
6.5,1,1,0,67,3.8,0,0,56,64,0,
7.1,1,1,0,70,4.1,1,1,56,65,0,
7.7,1,3,0,86,4.8,1,1,79,84,1,
8.7,2,3,2,90,4.8,1,1,73,82,1,
7.6,1,2,1,83,3.9,1,1,70,69,1,
8.6,1,2,0,77,4.7,0,1,55,68,1,
7.9,0,3,2,90,4.4,1,1,88,83,1,
8.1,0,2,0,70,4.8,1,1,78,86,1,
8.1,1,2,1,69,4,1,1,86,73,1,
8.1,1,1,0,62,3,0,0,55,67,0,
8.2,2,3,2,90,4.8,1,0,83,82,1,
8.1,2,2,2,79,4.6,1,1,79,85,0,
7.7,0,2,2,83,4.5,1,1,63,82,1,
6.5,1,2,1,72,4.6,1,1,82,71,0,
8,2,2,2,90,4.8,1,1,75,85,1,
8.4,1,3,0,83,4.8,1,1,77,85,1,
6.5,1,0,0,88,4.7,1,1,74,67,1,
7.3,1,1,1,60,4.1,0,0,59,65,0,
7.7,1,2,0,78,3.8,0,1,66,66,0,
8.5,1,3,2,88,4.8,1,1,83,85,1,
6.6,1,2,2,73,3.3,1,1,64,83,1,
8.5,0,3,2,87,4.7,1,1,58,76,1,
6.5,1,1,0,76,3.8,0,0,55,70,0,
8.5,2,3,1,90,4.7,1,1,75,88,1,
7,1,3,1,88,4.8,1,1,85,82,1,
8.2,1,3,0,77,4.5,1,1,75,88,1,
6.5,1,1,0,77,4.3,0,0,66,60,0,
7.5,1,1,1,88,4.8,0,1,56,66,1,
7.6,1,2,2,87,4.8,1,1,90,76,0,
6.5,1,1,1,60,4,0,0,70,71,0,
6.6,1,2,1,69,3.6,0,1,55,70,0,
7.8,1,2,0,82,4,0,1,70,60,0,
8.4,2,3,2,90,4.8,1,0,72,85,1,
7.4,1,2,2,74,4.4,1,1,84,72,0,
7.8,2,2,1,65,4.8,0,1,55,73,1,
7.9,0,2,1,79,4.8,1,1,61,66,0,
7.4,1,1,1,68,4.5,0,0,69,68,0,
8.4,0,3,2,90,4.8,1,1,88,83,1,
7.4,1,2,0,66,4.7,1,1,63,65,0,
7.8,0,1,0,61,3.8,0,0,60,71,0,
6.5,1,1,0,68,3.8,0,0,59,65,0,
7.6,1,2,0,72,4.1,0,1,60,64,0,
6.8,2,3,3,90,4.8,1,1,81,83,1,
8,1,2,2,80,4.7,1,0,72,80,0,
7.9,0,1,2,87,4.7,1,1,89,85,0,
8.7,0,3,2,90,4.8,1,1,79,85,1,
8.2,1,0,0,84,4.8,1,1,74,82,1,
8.5,1,3,2,83,4.8,1,1,76,87,1,
7.1,2,1,0,72,4.3,0,1,56,63,0,
7.8,1,2,0,71,3.7,1,1,82,64,1,
8.3,0,2,2,84,4.8,1,1,87,86,1,
7.6,2,1,1,82,3.9,1,0,71,71,0,
6.5,1,1,0,77,3.7,0,1,63,69,0,
7.8,1,2,2,68,4.4,0,0,55,68,0,
8.3,2,3,2,90,4.8,1,1,81,88,1,
8.4,2,3,2,90,4.8,1,1,88,80,1,
6.5,1,1,1,61,3.1,0,0,68,74,0,
7.5,1,2,0,87,4.5,0,0,57,72,0,
8.3,2,3,2,90,4.7,1,0,83,80,1,
7.7,2,3,2,90,4.7,1,1,79,88,1,
7.2,1,1,1,77,4.7,1,1,62,69,1,
8,1,3,1,83,4.7,1,1,77,83,0,
6.9,1,1,0,76,4.3,0,1,60,64,0,
7.8,2,1,1,74,3.6,1,1,57,72,0,
8.6,1,2,2,85,3.7,1,1,81,83,0,
7.9,1,3,0,78,4.6,1,1,78,85,1,
8.3,0,2,0,70,4.1,0,1,55,72,0,
7.8,1,2,1,78,4.8,0,1,55,69,0,
7.6,2,3,2,81,4,1,1,67,69,1,
7.3,0,1,0,67,3.6,0,0,55,58,0,
7.8,1,1,0,79,4,0,1,55,70,0,
7.4,1,1,0,74,4.4,1,1,71,81,1,
8.3,1,3,2,79,4.4,1,1,78,83,1,
8,1,2,2,74,4.1,0,1,70,84,1,
7.6,0,2,2,78,4.4,1,1,80,71,0,
8.3,0,3,0,82,4.5,1,1,73,81,1,
8.5,2,3,0,90,4.8,1,0,74,88,1,
8.1,1,1,0,90,4.7,0,1,70,82,0,
8.5,1,3,0,79,4.5,1,1,73,88,0,
6.8,0,1,1,79,4.2,1,1,60,82,0,
6.5,0,2,1,60,3.1,0,0,65,71,0,
8.3,0,3,1,76,4.5,1,0,81,67,0,
6.5,0,1,0,62,4,0,1,58,66,0,
8,2,3,3,90,4.6,1,1,84,81,1,
7.8,1,1,0,89,4.7,1,1,79,69,0,
8.9,2,3,2,86,4.7,1,1,71,88,1,
8.3,1,3,2,85,4.8,1,1,71,70,1,
8.5,2,3,2,90,4.7,1,1,84,86,1,
8.5,0,1,1,90,4.8,1,0,61,75,0,
6.5,1,1,1,62,4.1,0,1,63,67,0,
8.1,0,1,2,81,4.1,1,1,74,66,1,
6.5,0,1,1,65,4.2,0,1,58,70,0,
7.7,2,3,2,89,4.8,1,1,86,79,1,
8.2,1,2,0,68,4.2,0,0,57,64,0,
6.7,1,1,1,70,4.5,0,1,75,72,0,
7.5,0,1,1,71,3.4,0,0,66,74,0,
8.3,2,3,2,82,4.8,1,1,79,81,1,
6.5,1,2,3,77,4.4,1,0,64,80,0,
6.5,0,2,0,71,3.4,0,1,55,73,0,
7.4,1,2,0,65,3.9,0,0,74,66,0,
6.5,1,2,1,76,4.3,0,0,69,62,1,
7.4,0,3,2,90,4.7,1,1,83,88,1,
7.7,0,1,1,66,3.4,0,0,67,64,0,
8.4,1,3,2,81,4.3,0,1,74,66,1,
7.8,1,3,0,81,4.5,1,1,79,72,1,
8,1,3,2,90,4.7,1,1,72,84,0,
8.3,2,3,2,90,4.8,1,1,75,80,1,
8,1,3,0,83,4.8,0,1,75,83,0,
8.4,1,3,1,78,4.4,0,0,69,73,0,
8.3,2,3,2,90,4.8,1,1,88,87,1,
8.4,2,3,2,84,4.8,0,1,73,71,1,
8.5,1,3,2,86,4.6,1,1,64,83,1,
8.3,1,2,2,90,4.8,1,1,90,84,1,
8.5,1,2,3,90,4.8,0,1,70,72,0,
6.8,0,2,1,89,3.9,0,1,63,61,1,
7.5,1,2,0,82,4.4,0,1,57,61,1,
7.4,1,2,1,64,3.5,0,0,62,69,0,
7.8,1,1,0,73,3.2,0,1,57,69,0,
7.5,1,1,0,68,4.1,0,1,82,67,0,
6.5,2,3,0,89,4.4,1,1,77,73,1,
7.5,1,2,0,79,3.8,0,0,64,70,0,
7.4,0,1,1,69,4,0,1,60,71,0,
8,1,2,1,83,4,1,1,75,68,1,
8.5,2,2,2,69,4.4,0,1,76,81,0,
7.8,1,3,0,87,4.1,1,1,66,63,0,
6.6,0,2,0,64,4.2,0,0,55,85,0,
8.5,1,2,1,76,3.8,0,1,58,70,0,
6.5,1,2,1,66,4.2,0,0,55,72,0,
7.6,1,3,3,78,4.7,1,0,86,74,1,
7.7,1,1,1,75,4.6,0,1,72,75,0,
8,2,3,0,90,4.4,1,1,72,85,1,
8,1,3,2,86,4.8,1,0,84,85,1,
6.8,1,2,0,75,4.5,1,1,76,80,0,
8.2,1,3,2,79,4.1,1,1,78,65,1,
8.1,2,3,2,86,4.5,1,1,84,81,1,
8.3,1,2,0,82,4.6,1,1,85,86,1,
8.2,2,3,2,90,4.8,1,1,80,86,1,
7.6,1,2,0,85,4.6,0,1,78,73,0,
6.5,1,2,0,76,4.2,0,1,55,65,0,
8.3,1,2,1,84,4.7,1,1,59,69,0,
7.4,0,1,0,85,3.9,0,1,68,63,0,
7.6,1,2,0,77,4.1,0,1,68,72,1,
8.4,2,3,1,83,4.6,1,1,79,83,1,
7.4,1,1,0,74,4.1,0,1,56,62,0,
8,1,1,0,77,3.9,1,1,72,68,1,
8.2,0,3,2,80,4.8,1,1,80,83,1,
8.2,1,2,2,89,4.3,1,1,76,83,1,
8,0,2,2,83,4.6,1,1,82,78,0,
7.8,2,3,0,75,4.5,1,1,72,81,1,
8,1,2,1,80,3.4,1,1,76,82,0,
6.5,2,2,2,79,4.4,0,0,80,71,1,
6.5,1,1,0,62,4,0,0,61,74,0,
7.9,1,1,1,78,4.2,0,0,55,69,0,
6.5,0,1,0,73,3.7,0,0,72,67,0,
7.8,1,3,2,90,4.8,1,1,79,83,1,
7.8,1,2,0,72,4.5,0,1,55,69,0,
8,2,3,2,87,4.5,1,1,71,85,1,
8.3,0,3,2,74,4.1,1,1,70,84,0,
6.6,1,1,0,68,3.9,1,1,55,67,1,
7.5,1,3,1,78,4,0,0,83,73,0,
7.6,1,1,1,70,4.5,0,0,62,71,0,
7.7,0,1,0,65,3.9,0,0,74,69,0,
7.4,1,2,0,80,4.3,0,1,65,67,0,
8.5,1,1,0,75,4.2,1,1,58,71,0,
7.5,1,2,1,67,3.3,0,1,55,67,0,
7.6,1,3,0,82,4.8,1,1,69,84,1,
8,1,2,1,80,4.2,1,0,77,69,0,
8.7,1,3,2,80,4.7,1,1,76,82,1,
6.5,0,2,0,76,3.6,0,1,55,66,0,
8.2,1,3,2,76,4.4,1,1,66,86,0,
6.5,1,1,0,80,4.4,0,1,59,69,0,
8.4,2,3,2,90,4.5,1,0,75,86,1,
7.9,2,1,2,81,4.8,1,0,82,82,1,
7.6,1,2,0,71,4.1,0,0,56,63,0,
7.5,1,1,1,73,4.2,1,1,64,72,0,
7.5,1,1,1,62,4.3,0,0,60,61,0,
8.4,0,1,1,67,4.1,0,0,78,58,1,
8.8,0,3,0,82,4.8,1,1,63,78,1,
8,1,3,3,90,4.8,1,1,82,84,1,
8.6,2,3,2,90,4.5,1,1,84,82,1,
8.4,2,3,2,90,4.8,1,1,77,77,0,
8.2,1,3,2,90,3.6,1,1,75,80,1,
7.3,1,1,1,64,4.1,0,0,59,60,0,
6.5,1,2,2,75,4.1,1,1,66,70,1,
7.4,1,1,1,63,3.6,0,0,65,65,0,
8,2,1,0,77,4.5,0,1,59,65,0,
7.9,1,2,0,80,4.5,0,1,59,66,0,
8.3,0,3,0,88,4.7,1,1,70,80,0,
7,1,3,1,90,4.7,1,1,74,60,0,
6.5,1,2,0,80,4.4,0,1,59,68,0,
8.2,1,3,0,77,4.3,0,0,55,73,0,
8.7,1,2,1,90,4.6,0,0,74,68,0,
7.5,1,1,0,76,4.5,1,1,79,88,1,
7.6,1,1,0,60,4,0,0,56,64,0,
7.6,1,3,0,84,4.1,0,0,57,73,0,
8.3,1,3,2,89,4.7,1,1,72,80,0,
7.4,0,1,1,90,4.8,1,1,71,69,0,
7.6,1,2,0,79,4.1,0,1,71,62,0,
7.4,1,2,1,62,4.5,1,1,60,66,0,
7.5,0,1,1,71,4.4,1,1,79,74,0,
7.7,1,1,0,75,3.6,0,1,59,71,0,
6.5,2,2,1,81,4.8,0,0,61,69,0,
7.4,2,3,1,79,4.4,0,1,75,73,0,
7.5,1,1,0,67,4.3,0,0,61,69,0,
